,Word,Count,POSTags
0,game,241,"[('game', 'NN')]"
1,like,80,"[('like', 'IN')]"
2,even,72,"[('even', 'RB')]"
3,get,62,"[('get', 'VB')]"
4,one,61,"[('one', 'CD')]"
5,☐,60,"[('☐', 'NN')]"
6,play,56,"[('play', 'NN')]"
7,game.,56,"[('game', 'NN'), ('.', '.')]"
8,time,51,"[('time', 'NN')]"
9,also,51,"[('also', 'RB')]"
10,players,47,"[('players', 'NNS')]"
11,hours,45,"[('hours', 'NNS')]"
12,really,45,"[('really', 'RB')]"
13,every,44,"[('every', 'DT')]"
14,new,42,"[('new', 'JJ')]"
15,would,41,"[('would', 'MD')]"
16,"game,",40,"[('game', 'NN'), (',', ',')]"
17,playing,39,"[('playing', 'VBG')]"
18,good,35,"[('good', 'JJ')]"
19,it.,34,"[('it', 'PRP'), ('.', '.')]"
20,much,33,"[('much', 'JJ')]"
21,want,33,"[('want', 'NN')]"
22,many,33,"[('many', 'JJ')]"
23,people,32,"[('people', 'NNS')]"
24,story,30,"[('story', 'NN')]"
25,way,28,"[('way', 'NN')]"
26,actually,28,"[('actually', 'RB')]"
27,games,28,"[('games', 'NNS')]"
28,still,28,"[('still', 'RB')]"
29,fun,28,"[('fun', 'NN')]"
30,i've,27,"[('i', 'NN'), (""'ve"", 'VBP')]"
31,system,27,"[('system', 'NN')]"
32,bad,26,"[('bad', 'JJ')]"
33,think,26,"[('think', 'NN')]"
34,money,26,"[('money', 'NN')]"
35,experience,26,"[('experience', 'NN')]"
36,online,26,"[('online', 'NN')]"
37,i'm,25,"[('i', 'NN'), (""'m"", 'VBP')]"
38,make,25,"[('make', 'VB')]"
39,well,25,"[('well', 'RB')]"
40,know,24,"[('know', 'VB')]"
41,find,24,"[('find', 'VB')]"
42,review,24,"[('review', 'NN')]"
43,level,24,"[('level', 'NN')]"
44,player,23,"[('player', 'NN')]"
45,without,23,"[('without', 'IN')]"
46,>,23,"[('>', 'NN')]"
47,never,22,"[('never', 'RB')]"
48,[*],22,"[('[', 'JJ'), ('*', 'NNP'), (']', 'NN')]"
49,go,22,"[('go', 'VB')]"
50,different,22,"[('different', 'JJ')]"
51,lot,21,"[('lot', 'NN')]"
52,everything,21,"[('everything', 'NN')]"
53,played,21,"[('played', 'NNS')]"
54,makes,21,"[('makes', 'VBZ')]"
55,•,21,"[('•', 'NN')]"
56,crafting,21,"[('crafting', 'VBG')]"
57,start,20,"[('start', 'NN')]"
58,character,20,"[('character', 'NN')]"
59,feel,20,"[('feel', 'NN')]"
60,something,20,"[('something', 'NN')]"
61,buy,20,"[('buy', 'VB')]"
62,see,19,"[('see', 'VB')]"
63,rockstar,19,"[('rockstar', 'NN')]"
64,content,19,"[('content', 'NN')]"
65,use,19,"[('use', 'NN')]"
66,another,19,"[('another', 'DT')]"
67,first,19,"[('first', 'RB')]"
68,could,19,"[('could', 'MD')]"
69,enough,18,"[('enough', 'RB')]"
70,steam,18,"[('steam', 'NN')]"
71,account,18,"[('account', 'NN')]"
72,rust,18,"[('rust', 'NN')]"
73,making,17,"[('making', 'VBG')]"
74,3,17,"[('3', 'CD')]"
75,better,17,"[('better', 'RBR')]"
76,great,17,"[('great', 'JJ')]"
77,pay,17,"[('pay', 'NN')]"
78,crown,17,"[('crown', 'NN')]"
79,there's,16,"[('there', 'EX'), (""'s"", 'VBZ')]"
80,around,16,"[('around', 'IN')]"
81,-,16,"[('-', ':')]"
82,2,16,"[('2', 'CD')]"
83,that's,16,"[('that', 'DT'), (""'s"", 'VBZ')]"
84,going,16,"[('going', 'VBG')]"
85,me.,16,"[('me', 'PRP'), ('.', '.')]"
86,two,16,"[('two', 'CD')]"
87,since,16,"[('since', 'IN')]"
88,back,16,"[('back', 'RB')]"
89,skill,16,"[('skill', 'NN')]"
90,best,15,"[('best', 'JJS')]"
91,next,15,"[('next', 'JJ')]"
92,thing,15,"[('thing', 'NN')]"
93,give,15,"[('give', 'VB')]"
94,able,15,"[('able', 'JJ')]"
95,recommend,15,"[('recommend', 'NN')]"
96,"it,",15,"[('it', 'PRP'), (',', ',')]"
97,nothing,15,"[('nothing', 'NN')]"
98,made,15,"[('made', 'VBN')]"
99,fact,15,"[('fact', 'NN')]"
100,scrolls,15,"[('scrolls', 'NNS')]"
101,pvp,14,"[('pvp', 'NN')]"
102,point,14,"[('point', 'NN')]"
103,pc,14,"[('pc', 'NN')]"
104,combat,14,"[('combat', 'NN')]"
105,world,14,"[('world', 'NN')]"
106,try,14,"[('try', 'NN')]"
107,got,14,"[('got', 'VBD')]"
108,quality:,14,"[('quality', 'NN'), (':', ':')]"
109,elder,14,"[('elder', 'NN')]"
110,eso,14,"[('eso', 'NN')]"
111,high,13,"[('high', 'JJ')]"
112,can't,13,"[('ca', 'MD'), (""n't"", 'RB')]"
113,class,13,"[('class', 'NN')]"
114,little,13,"[('little', 'JJ')]"
115,feels,13,"[('feels', 'NNS')]"
116,☑,13,"[('☑', 'NN')]"
117,dont,13,"[('dont', 'NN')]"
118,say,13,"[('say', 'VB')]"
119,part,13,"[('part', 'NN')]"
120,real,13,"[('real', 'JJ')]"
121,let,13,"[('let', 'VB')]"
122,store,13,"[('store', 'NN')]"
123,car,13,"[('car', 'NN')]"
124,weapons,12,"[('weapons', 'NNS')]"
125,spent,12,"[('spent', 'NN')]"
126,change,12,"[('change', 'NN')]"
127,characters,12,"[('characters', 'NNS')]"
128,found,12,"[('found', 'NN')]"
129,pretty,12,"[('pretty', 'RB')]"
130,interesting,12,"[('interesting', 'VBG')]"
131,end,12,"[('end', 'NN')]"
132,getting,12,"[('getting', 'VBG')]"
133,things,12,"[('things', 'NNS')]"
134,take,12,"[('take', 'VB')]"
135,long,12,"[('long', 'RB')]"
136,look,12,"[('look', 'NN')]"
137,might,12,"[('might', 'MD')]"
138,server,12,"[('server', 'NN')]"
139,added,12,"[('added', 'VBD')]"
140,always,11,"[('always', 'RB')]"
141,far,11,"[('far', 'RB')]"
142,tell,11,"[('tell', 'NN')]"
143,single,11,"[('single', 'JJ')]"
144,due,11,"[('due', 'JJ')]"
145,everyone,11,"[('everyone', 'NN')]"
